"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"MCK","Musaliar College of Engineering & Tech., Pathanamthitta.","S","50441","-","-","-","-","-","-","-","-","-","-","-",""
"MCT","Mohandas College of Engg. & Tech., Nedumangad, TVM","S","52868","-","-","-","-","-","-","-","-","-","-","-",""
"MEA","M E A Engineering College, Malappuram.","S","32583","36514","36021","40426","-","50779","-","-","-","-","52590","-",""
"MEC","Malabar College of Engineering & Tech., Wadakancherry.","S","53207","-","-","-","-","-","-","-","-","-","-","-",""
"MEE","MES College of Engineering & Technology, .Ernakulam.","S","48518","-","-","-","-","-","-","-","-","-","-","-",""
"MEK","MES Institute of Tech. & Management, Chathannoor.","S","52209","-","-","-","-","-","-","-","-","-","-","-",""
"MES","M E S College of Engineering, Kuttippuram.","S","33354","39539","35056","33877","-","-","-","-","-","-","52624","-","MM:49950"
"MET","Met's School of Engineering, Mala.","S","52740","-","-","-","-","-","-","-","-","-","-","-",""
"MGC","M G College of Engineering, Thiruvallom.","S","52503","-","-","-","-","-","-","-","-","-","-","-",""
"MGE","MGM College of Engineering & Technology, Ernakulam","S","51818","-","-","-","-","-","-","-","-","-","-","-",""
"MGP","Saintgits College of Engineering, Kottayam","S","15269","23728","30266","18187","46573","20346","18322","-","-","-","51007","32480","OE:20409"
"MLM","Mangalam College of Engineering, Ettumanoor.","S","53139","-","-","-","-","-","-","-","-","-","-","-",""
"MLT","Malabar Institute of Technology, Anjarakandi.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"MUS","Muslim Association College of Engineering, Venjaramoodu.","S","46968","-","-","-","-","-","-","-","-","-","-","-",""
"MUT","Muthoot Institute of Tech. & Science, Puthencurz, Ernakulam.","S","9679","18632","14399","12461","22137","18731","15007","-","51524","-","52837","-","EW:25037 OE:32512"
"MZC","Mount Zion College of Engg., Pathanamthitta.","S","51486","-","-","-","-","-","-","-","-","-","-","-",""
"MZW","Mount Zion Institute of Science & Tehnology, Chengannur","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"NCE","Nehru College of Engg. & Research Centre, Thiruvillwamala.","S","52780","-","-","-","-","-","-","-","-","-","-","-",""
"PAA","P A Aziz College of Engineering, Karakulam, Thiruvananthapuram","S","48402","-","-","-","-","-","-","-","-","-","-","-",""
"PRC","Providence College of Engineering, Chengannur.","S","52097","-","-","-","-","-","-","-","-","-","-","-",""
"PRS","PRS College of Engineering & Tech., Neyyattinkara.","S","39339","-","-","-","-","-","-","-","-","-","-","-",""
"RCE","Royal College of Engineering & Technology, Thrissur.","S","52071","-","-","-","-","-","-","-","-","-","-","-","MM:50638"
"RET","Rajagiri School of Engineering and Technology, Kochi.","S","5839","10214","12526","8749","9826","7037","6875","-","-","-","51168","46807","OE:13182 YN:9712"
