"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"FIT","Federal Institute of Science & Tech., Angamaly.","S","10553","14231","13436","11694","12007","40944","11622","-","24118","45868","36678","-","EW:16885 YE:25256"
"GIT","Gurudeva Institute of Science & Technology, Puthuppally.","S","53191","-","-","-","-","-","-","-","-","-","-","-",""
"HCE","Heera College of Engineering & Technology, Nedumangad.","S","51637","-","-","-","-","-","-","-","-","-","-","-",""
"HGW","Holy Grace Academy of Engineering, Mala, Thrissur.","S","52807","-","-","-","-","-","-","-","-","-","-","-",""
"ICE","Ilahia College of Engineering & Tech., Moovattupuzha.","S","52936","-","-","-","-","-","-","-","-","-","-","-",""
"IES","I E S College of Engineering, Chittilappilly.","S","53123","-","-","-","-","-","-","-","-","-","-","-",""
"IGW","Indira Gandhi Inst. of Engineering & Tech., Kothamangalam","S","53112","-","-","-","-","-","-","-","-","-","-","-","MM:51711"
"ILE","ILM College of Engineering, Perumbavoor, Ernakulam.","S","44279","-","-","-","-","-","-","-","-","-","-","-",""
"JBT","Jai Bharath College of Management & Engg. Tech., Perumbavoor.","S","50588","-","-","-","-","-","-","-","-","-","-","-","MM:50294"
"JCE","Jawaharlal College of Engineering & Technology, Ottappalam.","S","53011","-","-","-","-","-","-","-","-","-","-","-",""
"JEC","Jyothi Engineering College, Cheruthuruthy.","S","29464","37572","48223","32006","-","43279","41341","-","-","-","49251","-",""
"JIT","John Cox Memorial CSI Institute of Technology,","S","52893","-","-","-","-","-","-","-","-","-","-","-",""
"KIT","Kottayam Institute of Tech. & Science, Pallicathode, Kottayam.","S","52645","-","-","-","-","-","-","-","-","-","-","-",""
"KMC","KMCT College of  Engineering, Kozhikkode.","S","50201","-","-","-","-","-","-","-","-","-","-","-","YT:47179"
"KME","K M E A Engineering College, Edathala.","S","52805","-","-","-","-","-","-","-","-","-","-","-","MM:36493"
"KMW","KMCT College of  Engineering for Women, Manassery.","S","52652","-","-","-","-","-","-","-","-","-","-","-",""
"KVE","KVM College of Engineering and Information Technology, Cherthala.","S","46783","-","-","-","-","-","-","-","-","-","-","-",""
"LMC","Lourdes Matha College of Science and Technology, Kuttichal.","S","51770","-","-","-","-","-","-","-","-","-","-","-",""
"MBC","Mar Baselios Christian College of Engg. & Tech., Peermede.","S","49781","-","-","-","-","-","-","-","-","-","-","-",""
"MBI","Mar Baselios Institute of Technology & Science, Kothamangalam.","S","46587","47507","-","-","-","-","-","-","-","-","-","-",""
"MBT","Mar Baselious College of Engg. & Tech., Thiruvananthapuram.","S","14947","20284","21610","16982","36508","27268","40404","25514","-","-","50112","-",""
"MCC","Musaliar College of Engineering, Chirayinkeezh.","S","50633","-","-","-","-","-","-","-","-","-","-","-",""
"MCE","Marian Engineering College, Kazhakuttom.","S","34837","36900","40411","46476","35245","-","38162","-","-","-","52995","-","YJ:48743"
