"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"RIE","Rajadhani Institute of Engineering & Tech., Attingal.","S","53121","-","-","-","-","-","-","-","-","-","-","-",""
"SBC","Sree Buddha College of Engineering, Nooranadu.","S","32226","39918","49415","50276","-","37070","-","-","-","-","52972","-","EW:45079"
"SBW","Sree Buddha College of Engineering, Elavumthitta, Pathanamthitta","S","52048","-","-","-","-","-","-","-","-","-","-","-",""
"SCM","SCMS School of Engg. & Tech., Ernakulam","S","21604","25088","25859","24190","29628","28539","30945","-","-","-","49503","-","EW:40742 OE:50149"
"SGT","Sadguru Swamy Nithyananda Insti. of Tech., Karsaragod","S","51432","-","-","-","-","-","-","-","-","-","-","-",""
"SHM","Shahul Hameed Memorial Engineering College, Kadakkal, Kollam","S","51069","-","-","-","-","-","-","-","-","-","-","-",""
"SHR","Sahrdaya College of Engineering and Technology, Kodakara.","S","26380","32059","40159","46662","42022","50509","45418","-","-","-","39399","-","YO:51307"
"SIT","Sarabhai Institute of Science & Technology, Vellanad.","S","42765","-","-","-","-","-","-","-","-","-","-","-",""
"SJC","St. Josephs College of Engineering and Technology,Palai.","S","24608","29868","45681","28377","28293","-","42335","-","-","-","44238","-","RP:27812 YP:52316"
"SNC","Sree Narayana Guru College of Engg & Technology, Payyannur.","S","51989","-","-","-","-","-","-","-","-","-","-","-",""
"SNG","Sree Narayana Gurukulam College of Engineering, Kolencherry.","S","50176","-","-","-","-","-","-","-","-","-","-","-",""
"SNM","Sree Narayana Mangalam Inst. of Mgmt. & Tech., Moothakunnam.","S","52833","-","-","-","-","-","-","-","-","-","-","-",""
"SNT","Sree Narayana Guru Institute of Science & Tech., N. Paravoor.","S","50841","-","-","-","-","-","-","-","-","-","-","-",""
"SPT","Sreepathy Institute of Management & Tech., Koottanad.","S","53076","-","-","-","-","-","-","-","-","-","-","-",""
"STC","St. Thomas College of Engg. & Technology, Chengannur.","S","52177","-","-","-","-","-","-","-","-","-","-","-",""
"STI","St. Thomas Institute of Science & Technology, Kattaikonam.","S","52156","-","-","-","-","-","-","-","-","-","-","-",""
"STM","St. Thomas College of Engineering & Technology,  Kannur.","S","51242","-","-","-","-","-","-","-","-","-","-","-",""
"TCE","Toms College of Engineering, Mattakara, Kottayam","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"TEC","Travancore Engineering College, Oyoor, Kollam.","S","51665","-","-","-","-","-","-","-","-","-","-","-",""
"TJE","Thejus Engineering College, Erumapetti, Thrissur.","S","51901","-","-","-","-","-","-","-","-","-","-","-",""
"TKI","T K M Institute of Technology, Ezhukone, Kollam.","S","51198","-","-","-","-","-","-","-","-","-","-","-",""
"TOC","Toc H Institute of Science & Tech., Mulamthurutthy.","S","33915","40189","42224","35558","39775","-","-","-","46514","-","-","-","EW:39540"
"UKP","UKF College of Engineering & Tech., Parippally.","S","53043","-","-","-","-","-","-","-","-","-","-","-",""
