"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"ALB","College of Pharmaceutical Sciences, Alappuzha","G","1607","2281","1649","2991","2975","-","-","-","-","-","5718","-",""
"AMB","College of Pharmaceutical Science, Kannur","G","2147","3540","2314","3921","3872","10363","3059","4580","13039","5826","8583","17285","PD:43984"
"KKB","College of Pharmaceutical Sciences, Kozhikkode","G","1045","1212","1093","1120","4155","-","1215","-","-","-","3616","13551","PD:34602"
"KTB","College of Pharmaceutical Sciences, Kottayam","G","2146","3382","2430","3719","2748","3469","2826","4519","11332","-","8834","15041","CC:25 PT:13"
"TVB","College of Pharmaceutical Sciences, Thiruvananthapuram","G","1912","2993","2063","2425","2640","6181","3056","-","-","12341","7497","7325","PD:53929"
"AAB","Al-Azhar College of Pharmacy, Thodupuzha","S","21504","22666","22273","30365","34497","30542","31826","-","-","-","28022","-",""
"AFB","Al Shifa College of Pharmacy, Poonthavanam, Kizhattur,","S","10825","19694","11546","19094","19103","30509","18779","24231","34385","14775","25056","38984",""
"AHB","Ahalia School of Pharmacy, Kozhipara, Palakkad","S","18612","19748","20154","23655","30034","-","-","-","-","-","26981","-",""
"CAB","Caritas College of Pharmacy, Thellakom, Kottayam","S","6876","8540","8406","16940","11884","13764","10016","-","-","-","12581","24405",""
"CCB","Chemists College of Pharmaceutical Scie.&Research, Varikoli,","S","18973","22540","21590","-","-","19042","22760","30193","-","-","32262","-",""
"CRB","Crescent College of Pharmaceutical Sciences, Madayipara, Kannur","S","18935","23444","20359","21757","33089","22877","-","-","-","32519","38330","-",""
"DAB","Devaki Amma Memorial College of Pharmacy, Pulliparamba,","S","12777","15449","14079","21665","43762","-","18511","-","-","-","30970","45001",""
"DMB","DM WIMS College of Pharmacy, Wayanad","S","22094","27070","23072","29769","36045","26074","31316","-","-","-","37720","37828",""
"DPB","Department of Pharmaceutical Science, Ettumanoor","S","17679","18190","22884","22042","36024","-","-","20366","-","40296","25078","-",""
"DVB","The Dale View College of Pharmacy & Research Centre, Punalal,","S","17572","23051","19794","25857","18341","26930","20982","-","-","-","24421","34442",""
"ECB","Ezhuthachan College of Pharmaceutical Science, Marayamuttam,","S","15822","20248","17128","19832","23561","26010","19827","-","-","-","23104","-",""
"EPB","Elims College of Pharmacy, Ramavarmapuram, Thrissur.","S","21414","24185","21959","25670","34024","-","-","31314","28327","-","32431","-",""
"GCB","Grace College of Pharmacy, Kodunthirapully, Palakkad","S","22147","27742","23117","-","-","30922","35847","-","-","36217","28614","49498",""
"HGB","Holy Grace Academy of Pharmacy, Mala,Thrissur","S","12035","13573","14217","18465","12924","12783","24918","-","-","-","28376","29586",""
"HKB","Hindustan College of Pharmacy, Kanjirappally","S","23855","30826","24144","31165","41869","-","-","-","-","-","33707","-",""
"JCB","St. James College of Pharmaceutical Sciences, River Bank,","S","17323","21473","19509","-","-","33320","28165","32367","-","-","39065","52537",""
"JDB","JDT Islam College of Pharmacy, Marikunnu, Kozhikode","S","8783","14413","9910","25314","43323","24937","-","-","13720","36427","14889","-",""
"JSB","Jamia Salafiya Pharmacy College, Salafiya Gramam, Pulikkal,","S","18418","27180","21118","18829","-","-","24258","29555","-","-","37189","-",""
