"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"KCB","KMCT College of Pharmacy, Mampra, Malappuram","S","6046","8083","6806","19644","19908","-","-","15578","27713","-","13882","-",""
"KEB","KMP College of Pharmacy, Perumbavoor, Ernakulam","S","15064","18308","17153","19847","21562","-","-","26868","19263","-","31526","-",""
"KMB","KMCT College of Pharmaceutical Sciences, Kalanthode, Kozhikode","S","11356","17515","14449","16024","42641","13052","15880","-","-","-","18264","30784",""
"KNB","College of Pharmacy, Kannur Medical College, Anajarakandy,","S","20095","23110","20696","22835","27795","-","-","31418","-","35928","29239","-",""
"KPB","K T N College of Pharmacy, Puliyanamkunnu, Ottappalam , Palakkad","S","23512","25334","23909","28063","29697","32322","26387","-","-","-","35980","-",""
"KRB","Karuna College of Pharmacy, Thirumittacode, Pattambi, Palakkad","S","24000","28734","24014","32115","40241","33971","34912","-","-","-","39382","-",""
"KVB","K V M College of Pharmacy, Kokkothamangalam, Cherthala","S","11648","14722","14403","26545","-","12896","25682","-","-","36991","29168","-",""
"MCB","Moulana College of Pharmacy, Nr. Railway Station, Perinthalmanna,","S","18718","23176","19438","28823","43466","-","-","34227","39639","-","37888","-",""
"MDB","Mar Dioscorus College of Pharmacy, Alathara, Sreekaryam, TVPM","S","14108","19247","16073","-","-","15913","18510","-","-","24888","23275","45000",""
"MGB","MGM Silver Jubilee College of Polytech & Pharmaceutical,","S","10330","11895","10775","13454","-","16146","14377","-","-","-","16093","18844",""
"MGK","MGM Silver Jubilee College of Pharmacy, Kilimannoor,","S","8901","10971","10272","13388","12710","-","-","-","-","-","14185","-",""
"MKB","Malik Deenar College of Pharmacy, Seethangoli, Bela, Kasaragod","S","22517","30720","22612","29637","35932","-","-","-","-","-","38260","-",""
"MMB","Mookambika College of Pharmaceutical Scie. & Research,","S","24503","30056","25457","-","-","32631","28701","29189","-","-","41411","-",""
"MPB","Dr. Joseph Mar Thoma Institute of Pharmaceutical Scie. &","S","22597","28060","23673","28883","24767","24636","-","-","30456","35666","32288","-",""
"MZB","Mount Zion College of Pharmaceutical Science and Research, Adoor","S","22126","28108","23866","26080","30112","-","26916","-","-","-","26393","48444",""
"NAB","Nazareth College of Pharmacy, Othera, Thiruvalla, Pathanamthitta","S","20535","28064","23008","20731","23903","26878","25272","-","-","-","33456","26732",""
"NCB","Nehru College of Pharmacy, Pampady, Thiruvilwamala, Thrissur","S","22757","26412","23425","26784","37385","31272","23099","24473","40821","-","41026","-",""
"NEB","Nirmala College of Health Science, Meloor, Thrissur","S","7630","11012","8280","9874","21529","10666","11411","-","-","-","11767","42758",""
"NMB","Nirmala College of Pharmacy, Muvattupuzha, Ernakulam","S","18951","25657","22406","28404","31285","-","-","-","-","-","33565","-",""
"NPB","National College of Pharmacy, Manassery, Mukkam, Kozhikode","S","17448","18487","18479","27337","31008","20579","27181","30173","-","32041","26526","35923",""
"PCB","Pushpagiri College of Pharmacy, Perumthuruthy, Thiruvalla","S","16043","22902","21872","27349","17768","23779","20729","-","-","-","29408","-",""
"PPB","Prime College of Pharmacy, Erattayil, Palakkad","S","24439","31014","24622","29009","35670","31347","33191","-","-","-","39393","-",""
"RGB","Rajiv Gandhi Institute of Pharmacy, Trikaripur,Kasaragod","S","23431","28467","23967","25151","44574","-","-","33295","-","-","38350","-",""
